학년,년,월,지문,input,output
고2,23년,11월,20,"Agriculture includes a range of activities such as planting, harvesting, fertilizing, pest management, raising animals, and distributing food and agricultural products. It is one of the oldest and most essential human activities, dating back thousands of years, and has played a critical role in the development of human civilizations, allowing people to create stable food supplies and settle in one place. Today, agriculture remains a vital industry that feeds the world's population, supports rural communities, and provides raw materials for other industries. However, agriculture faces numerous challenges such as climate change, water scarcity, soil degradation, and biodiversity loss. As the world‘s population continues to grow, it is essential to find sustainable solutions to address the challenges facing agriculture and ensure the continued production of food and other agricultural products.","A. 적절한 주제와 요지를 고르세요
① Agriculture includes planting, harvesting, pest management, etc. for community support.
② Fertilizer use and pest management are important agricultural practices.
③ Climate change has a huge impact on agricultural production.
④ Soil degradation poses a threat to agriculture.
⑤ Measures are needed to solve the problems facing agriculture, an important activity for humans.
⑥ Agriculture supports rural communities and provides raw materials.
⑦ Sustainable forest management practices are important for environmental protection.
⑧ Renewable energy sources are essential in tackling climate change.
⑨ As agriculture is an essential human activity, it is necessary to find sustainable solutions.

B. 적절한 제목을 고르세요
① Why Agriculture Is No Longer Important
② Evolution of agricultural practices in response to environmental changes
③ Pest Management Strategies in Modern Agriculture
④ the role of fertilizers in increasing crop yields
⑤ the need for sustainable solutions to agricultural problems
⑥ The History of Agricultural Equipment
⑦ The Role and Challenges of Agriculture
⑧ Agriculture: A Minor Part of Human History
⑨ Evolution of Human Settlements and Food Sources
⑩ Innovations in Soil Fertility Practices



[Answer]
A. 5,9
B. 5,7"
고2,23년,11월,21,"The arts and aesthetics offer emotional connection to the full range of human experience. “The arts can be more than just sugar on the tongue,” Anjan Chatterjee, a professor at the University of Pennsylvania, says. “In art, when there's something challenging, which can also be uncomfortable, this discomfort, if we‘re willing to engage with it, offers the possibility of some change, some transformation. That can also be a powerful aesthetic experience.” The arts, in this way, become vehicles to contend with ideas and concepts that are difficult and uncomfortable otherwise. When Picasso painted his masterpiece Guernica in 1937, he captured the heartbreaking and cruel nature of war, and offered the world a way to consider the universal suffering caused by the Spanish Civil War. When Lorraine Hansberry wrote her play A Raisin in the Sun, she gave us a powerful story of people struggling with racism, discrimination, and the pursuit of the American dream while also offering a touching portrait of family life.
","A. 적절한 주제와 요지를 고르세요
① The arts provide mere entertainment for audiences.
② The arts should only portray pleasant experiences.
③ Art solely glorifies positive human experiences.
④ Art avoids uncomfortable subjects and ideas.
⑤  Art serves as a medium to explore and reflect on uncomfortable realities.
⑥ Art solely glorifies positive human experiences.
⑦ Picasso's Guernica depicts the beauty of war.
⑧ The arts offer profound insights into human suffering and social issues.
⑨ Art should avoid depicting human suffering.
⑩ The arts are effective in teaching historical facts.

B. 적절한 제목을 고르세요
① Artistic Comfort in the Human Experience
② Sugar on the Tongue: The Sweet Side of Art
③ Art as a Shield from Harsh Realities
④ Art: Escaping Discomfort and Transformation
⑤ Picasso’s Guernica: Capturing War’s Cruelty
⑥ A Raisin in the Sun: Portrait of Family Life
⑦ Literature’s Role in Emotional Connection
⑧ art of fighting uncomfortable thoughts
⑨ Artistic Beauty and Superficial Pleasure
⑩ Art's Influence on Positive Thinking



[Answer]
A. 5,8
B. 8"
고2,23년,11월,22,"Many historians have pointed to the significance of accurate time measurement to Western economic progress. The French historian Jacques Le Goff called the birth of the public mechanical clock a turning point in Western society. Until the late Middle Ages, people had sun or water clocks, which did not play any meaningful role in business activities. Market openings and activities started with the sunrise and typically ended at noon when the sun was at its peak. But when the first public mechanical clocks were introduced and spread across European cities, market times were set by the stroke of the hour. Public clocks thus greatly contributed to public life and work by providing a new concept of time that was easy for everyone to understand. This, in turn, helped facilitate trade and commerce. Interactions and transactions between consumers, retailers, and wholesalers became less irregular. Important town meetings began to follow the pace of the clock, allowing people to better plan their time and allocate resources in a more efficient manner.
","A. 적절한 주제와 요지를 고르세요
① Public clocks led to the decline of traditional agricultural schedules.
② Market activities started with the sunrise and ended at noon.
③ Advances in medieval astronomy influenced Western economic progress.
④ Accurate time measurement facilitated trade, meetings, and efficient resource allocation in Europe.
⑤ Public mechanical clocks disrupted economic progress in Western society.
⑥ Public mechanical clocks revolutionized medieval religious practices.
⑦ Sun clocks played a crucial role in medieval economic activities.
⑧ Mechanical clocks were primarily used for astronomical observations in medieval Europe.
⑨ Market times were initially set by water clocks.

B. 적절한 제목을 고르세요
① The impact of sun clocks on early medieval farming techniques.
② Advances in medieval architectural techniques and their economic impact.
③ Trade and Commerce in Ancient Greece
④ The Birth of Public Clocks and Western Economic Progress
⑤ The Decline of Public Mechanical Clocks in Western Society
⑥ Irrelevance of Time Measurement in Economic Progress
⑦ The Impact of Sundials on Medieval Commerce
⑧ The Development of Marketplaces in Medieval Europe
⑨ The Decline of Traditional Market Practices
⑩ Public Clocks: Catalysts of Medieval Economic Growth




[Answer]
A. 4
B. 2,10"
고2,23년,11월,23,"Sylvan Goldman invented the shopping cart and introduced it in his stores in 1937. It was an excellent device that would make it easy for shoppers to buy as much as they wanted without getting tired or seeking others' help. But Goldman discovered that in spite of his repeated advertisements and explanations, he could not persuade his shoppers to use the wheeled carts. Men were reluctant because they thought they would appear weak if they pushed such carts instead of carrying their shopping. Women wouldn‘t touch them because the carts reminded them of baby carriages. It was only a few elderly shoppers who used them. That made the carts even less attractive to the majority of the shoppers. Then Goldman hit upon an idea. He hired several models, men and women, of different ages and asked them to wheel the carts in the store and shop. A young woman employee standing near the entrance told the regular shoppers, ’Look, everyone is using the carts. Why don‘t you?’ That was the turning point. A few shills disguised as regular shoppers easily accomplished what logic, explanations, and advertisements failed to do. Within a few weeks shoppers readily accepted those carts.","A. 적절한 주제와 요지를 고르세요
① Shoppers immediately loved and adopted the shopping carts without hesitation.
② Advertising alone was sufficient to convince shoppers to use the carts.
③ Wheeled baskets were introduced but were initially rejected due to design flaws.
④ Elderly shoppers were the first to use Goldman's shopping carts.
⑤ The model's demonstration was more effective than advertising.
⑥ Shoppers thought the carts were primarily for store staff use.
⑦ Elderly shoppers were the only ones who rejected the carts initially.
⑧ Goldman’s stores offered discounts for using the shopping carts.
⑨ Hand-pulled carts were presented but were initially seen as impractical.
⑩  Shoppers accepted carts after seeing models use them in the store.

B. 적절한 제목을 고르세요
① The Reluctance of Shoppers to Use Wheeled Carts
② Advertisements Successfully Promoted Shopping Carts
③ Elderly Shoppers Never Used the Carts
④ The Role of Gender in Shopping Cart Adoption
⑤ The Impact of Advertisements on Shopping Behavior
⑥ The Evolution of Retail Shopping Aids
⑦ How Shoppers Came to Embrace the Shopping Cart
⑧ Strategies for Introducing New Retail Innovations
⑨ Why Shoppers Avoided Goldman's Stores
⑩ From Denial to Acceptance: The Story of Shopping Cart



[Answer]
A. 5,10
B. 7,10"
고2,23년,11월,24,"In response to human-like care robots, critics might charge that human-robot interactions create moral hazards for dementia patients. Even if deception is sometimes allowed when it serves worthy goals, should it be allowed for vulnerable users? Just as children on the autism spectrum with robot companions might be easily fooled into thinking of robots as friends, older adults with cognitive deficits might be. According to Alexis Elder, a professor at UMD, robots are false friends, inferior to true friendship. Reasoning along similar lines, John Sullins, a professor at Sonoma State University, holds that robots should “remain iconic or cartoonish so that they are easily distinguished as synthetic even by unsophisticated users.” At least then no one is fooled. Making robots clearly fake also avoids the so-called “uncanny valley,” where robots are perceived as scary because they so closely resemble us, but not quite. Other critics of robot deception argue that when care recipients are deceived into thinking that robots care, this crosses a line and violates human dignity.","A. 적절한 주제와 요지를 고르세요
① Robots should always be perceived as friendly.
② Robot deception enhances human dignity.
③ Elderly with dementia can't distinguish robots from humans.
④ Robot care is primarily for children with autism.
⑤ Elderly care robots should be as realistic as possible.
⑥ Robot companions provide authentic friendship.
⑦ Robots should be used as friends for children with autism.
⑧ Technological advancements make robots more suitable for elderly care.
⑨ Robots should look lifelike to be effective caregivers.
⑩ Deception in human-robot interactions can violate human dignity and cause moral hazards.

B. 적절한 제목을 고르세요
① Ethics of AI in social media.
② Benefits of robot companionship for elderly dementia patients.
③ Technological advancements in care robots for elderly.
④ Deception in robot care is ethically acceptable for vulnerable users.
⑤ Elderly patients benefit most from realistic human-like robots.
⑥ Balancing technological progress and ethical boundaries in healthcare.
⑦ The Ethical Debate of Robots to Offer to Vulnerable People
⑧ Robots as ideal companions for dementia patients.
⑨ The dangers of providing deceptive robots to vulnerable people
⑩ Improving cognitive function with robot-assisted activities.



[Answer]
A. 10
B. 7,9"
고2,23년,11월,29,"Lectins are large proteins that serve as a crucial weapon that plants use to defend themselves. The lectins in most plants bind to carbohydrates as we consume the plant. They also bind to sugar molecules found in the gut, in the brain, between nerve endings, in joints and in all bodily fluids. According to Dr. Steven Gundry, these sticky proteins can interrupt messaging between cells and cause toxic and inflammatory reactions. Brain fog is just one result of lectins interrupting communication between nerves. An upset stomach is another common symptom of lectin overload. Dr. Gundry lists a wide range of other health problems including aching joints, dementia, headaches and infertility that have been resolved in his patients once they eliminated lectins from their diets. Dr. Paul Saladino writes that the hypothesis that lectins are involved in Parkinson's disease is also gaining support, with animal studies showing that ‘lectins, once eaten, may be damaging the gut and travelling to the brain, where they appear to be toxic to dopaminergic neurons’.","A. 적절한 주제와 요지를 고르세요
① Lectins enhance the nutritional value of plants for human consumption.
② Lectins are essential for the photosynthesis process in plants.
③ Lectins cause inflammatory reactions and interfere with cell-to-cell communication, causing health problems.
④ Lectins improve brain communication and reduce inflammation.
⑤ Lectins are beneficial for gut health and overall bodily function.
⑥ Plant fibers aid digestion by interacting with gut bacteria.
⑦ Lectins are proteins that bind to carbohydrates.
⑧ Artificial additives in food can disrupt cell communication.
⑨ Consuming lectins can cause various health problems in our bodies.
⑩ Consuming lectins reduces the risk of neurological diseases.

B. 적절한 제목을 고르세요
① Lectins as Essential Nutrients for Cognitive Function
② Lectins: Key to Reducing Inflammation and Joint Pain
③ How Lectins Enhance Plant Growth and Human Health
④ Lectins: Nature’s Beneficial Protein for Digestive Health
⑤ Protein-Induced Inflammation: Causes and Remedies
⑥ Lectins: The Plant Protein Disrupting Human Health
⑦ Brain Fog: The Hidden Effect of Plant Proteins
⑧ Managing Joint Pain by Reducing Lectin Intake
⑨ The Toxic Effects of Lectins on Human Body Systems
⑩ Lectins as Vital Components of a Balanced Diet


[Answer]
A. 3,9
B. 6,9"
고2,23년,11월,30,"Technology changes how individuals and societies understand the concept of privacy. The fact that someone has a new ability to access information or watch the actions of another does not  justify doing so. Rather, advances in technology require citizens and policy makers to consider how privacy protections should be expanded. For example, when cameras first became available for commercial and private use, nations and citizens struggled over whether new laws should be enacted to protect individuals from being photographed without their permission. The reconsideration of privacy brought about by this new technology re-affirmed a distinction between private and public spaces. It was determined by most cultures that people automatically gave consent to being seen ― and thus recorded ― once they voluntarily stepped into a public space. Although some people might be uncomfortable with the spread of surveillance cameras, citizens in most cultures have adjusted to the fact that giving up the right not to be observed in these circumstances causes less harm to the community than failing to have surveillance.","A. 적절한 주제와 요지를 고르세요
① Technology ensures absolute privacy, removing the need for policy changes.
② Individuals have less need for privacy as technology advances.
③ Technological advances prompt reevaluation of privacy protections by citizens and policymakers.
④ People feel less secure with the proliferation of surveillance technology.
⑤ Nations debated new laws for camera use in private settings.
⑥ Biometric technology raises ethical questions about personal data security.
⑦ Technology necessitates reevaluating privacy protections in society.
⑧ Surveillance laws are the most debated topic in public policy.
⑨ Blockchain technology redefines financial transactions and personal data security.

B. 적절한 제목을 고르세요
① Changes in social media policies due to technological progress.
② The impact of data encryption on privacy in communication.
③ Surveillance Cameras: Public Safety vs. Individual Comfort
④ The Impact of Cameras on Daily Life
⑤ Technological Advances Justify Privacy Invasions
⑥ Commercial Use of Cameras and Privacy Laws
⑦ Ethical Implications of Data Collection
⑧ a change in the concept of privacy in the age of technology
⑨ Privacy Limits in Commercial Photography



[Answer]
A. 3,7
B. 8"
고2,23년,11월,31,"Coincidence that is statistically impossible seems to us like an irrational event, and some define it as a miracle. But, as Montaigne has said, “the origin of a miracle is in our ignorance, at the level of our knowledge of nature, and not in nature itself.” Glorious miracles have been later on discovered to be obedience to the laws of nature or a technological development that was not widely known at the time. As the German poet, Goethe, phrased it: “Things that are mysterious are not yet miracles.” The miracle assumes the intervention of a “higher power” in its occurrence that is beyond human capability to grasp. Yet there are methodical and simple ways to “cause a miracle” without divine revelation and inspiration. Instead of checking it out, investigating and finding the source of the event, we define it as a miracle. The miracle, then, is the excuse of those who are too lazy to think.
","A. 적절한 주제와 요지를 고르세요
① Miracles occur when nature's laws are temporarily suspended.
② Miracles require divine revelation and inspiration.
③ Miracles are proof of divine power.
④ Miracles stem from ignorance, not divine intervention.
⑤ Miracles prove our advanced understanding of nature.
⑥ Superstitions arise from cultural misunderstandings of nature.
⑦ Nature's complexity often causes myths and legends.
⑧ Scientific discoveries never challenge the concept of miracles.
⑨ Miracles result from our limited understanding of nature.
⑩ Legends of old often explain natural phenomena.

B. 적절한 제목을 고르세요
① Miracles: Proof of Divine Intervention
② Scientific Inquiry Disproves Natural Laws
③ Technological Developments Misunderstood as Miracles
④ The Intersection of Faith and Science
⑤ Miracles Created by Ignorance
⑥ Belief Systems and Miraculous Events
⑦ Rational Thought Proves Miracles
⑧ Scientific Evidence of Divine Miracles
⑨ Rational Minds Accept Miracles
⑩ Historical Misinterpretations of Technology
⑪ Miracle: What a lack of investigation has created



[Answer]
A. 4,9
B. 5,11"
고2,23년,11월,32,"Information encountered after an event can influence subsequent remembering. External information can easily integrate into a witness's memory, especially if the event was poorly encoded or the memory is from a distant event, in which case time and forgetting have degraded the original memory. With reduced information available in memory with which to confirm the validity of post-event misinformation, it is less likely that this new information will be rejected. Instead, especially when it fits the witness's current thinking and can be used to create a story that makes sense to him or her, it may be integrated as part of the original experience. This process can be explicit (i.e., the witness knows it is happening), but it is often unconscious. That is, the witness might find himself or herself thinking about the event differently without awareness. Over time, the witness may not even know the source of information that led to the (new) memory. Sources of misinformation in forensic contexts can be encountered anywhere, from discussions with other witnesses to social media searches to multiple interviews with investigators or other legal professionals, and even in court.
","A. 적절한 주제와 요지를 고르세요
① The accuracy of witness memory improves over time.
② Witnesses always reject post-event misinformation.
③ Information from external sources is rarely integrated into memory.
④ The reliability of witness memory is enhanced through multiple interviews.
⑤ Social media helps solidify accurate witness memories.
⑥ Investigators' multiple interviews improve memory accuracy.
⑦ Information after the incident can change the memory of the witness if the event is not well encoded.
⑧ Accurate memories are maintained through frequent recall.
⑨ Poorly encoded events are more susceptible to integration of external misinformation.
⑩ Memory consolidation is best achieved through repeated questioning.

B. 적절한 제목을 고르세요
① How Social Media Alters Everyday Memories
② Events That Change Our Perception of Time
③ Original Memories Are Impervious to New Information
④ The Influence of Social Media on Witness Accounts
⑤ Original Experiences Remain Unchanged
⑥ The Influence of Post-Event Information on Witness Memory
⑦ Witness Memory and Social Media Influence
⑧ How Discussions Shape Group Memories
⑨ External information after the incident changes eyewitness memory.
⑩ Witnesses Never Forget Critical Details



[Answer]
A. 7,9
B. 6,9"
고2,23년,11월,33,"Correlations are powerful because the insights they offer are relatively clear. These insights are often covered up when we bring causality back into the picture. For instance, a used-car dealer supplied data to statisticians to predict which of the vehicles available for purchase at an auction were likely to have problems. A correlation analysis showed that orange-colored cars were far less likely to have defects. Even as we read this, we already think about why it might be so: Are orange-colored car owners likely to be car enthusiasts and take better care of their vehicles? Or, is it because orange-colored cars are more noticeable on the road and therefore less likely to be in accidents, so they're in better condition when resold? Quickly we are caught in a web of competing causal hypotheses. But our attempts to illuminate things this way only make them cloudier.  Correlations exist; we can show them mathematically. We can't easily do the same for causal links. So we would do well to hold off from trying to explain the reason behind the correlations.","A. 적절한 주제와 요지를 고르세요
① Correlations exist only in scientific research, not in everyday scenarios.
② Causality can be determined easily through mathematical models.
③ Correlation analysis complicates understanding of data insights.
④ It’s easy to establish causal links in statistical data.
⑤ Statistical analysis of color trends in cars offers insights into maintenance habits.
⑥ Clear insights from correlations are clouded by attempts at causal explanations.
⑦ Correlations provide a clear way to establish cause and effect.
⑧ Correlation provides clear insights, but those insights are clouded by causal analysis.
⑨ Only causal links provide useful insights into statistical data.
⑩ Correlations are not mathematically provable.

B. 적절한 제목을 고르세요
① Mathematical Approaches to Predicting Used Car Quality
② The Clarity of Causal Hypotheses in Data Analysis
③ Simplifying Data Analysis with Causal Explanations
④ The Importance of Data in Predictive Analytics
⑤ Why We Should Avoid Explaining Correlations with Causality
⑥ The Necessity of Causal Explanations in Understanding Data
⑦ Why Correlations Alone Are Insufficient for Insights
⑧ The Clarity of Causal Relationships Over Correlations
⑨ How Statistical Models Shape Business Decisions
⑩ Trying to explain causation: a way to hide the insights of correlations



[Answer]
A. 6,8
B. 5,10"
